Energies generated by autodE on: 2025-05-23. Single point energies at PBE0-D3BJ/def2-TZVP and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_C5H9O2,-345.607267510853,None,None,-345.994775846533
p0_C5H8O,-270.01843715804,None,None,-270.31358015698
p1_HO,-75.587883793245,None,None,-75.685746721475
TS_vdwLSy_ll_ad_1-4_0-1,-345.561942870188,None,None,-345.953139643758
